archivo,fila,columna,tau,error_rms,error_relativo
IMG_20260425_190354.jpg,2,0,0.22526382857322547,0.00987262428056265,0.17659291485119008
IMG_20260425_190354.jpg,2,1,0.49056084086472274,0.008099582362623972,0.3210653280700471
IMG_20260425_190354.jpg,2,2,0.5260672467981321,0.008606969275884113,0.35798771013804204
IMG_20260425_190354.jpg,2,3,0.40737563686596506,0.008931892753308312,0.2924647167140709
IMG_20260425_190354.jpg,2,4,0.44176233926646336,0.008419784249464136,0.3002066468994601
IMG_20260425_190354.jpg,2,5,0.4275239974102892,0.008395464413550031,0.29080883159997517
IMG_20260425_190354.jpg,2,6,0.4931680944665617,0.008294549773729275,0.3332716087317838
IMG_20260425_190354.jpg,2,7,0.4582357836111331,0.008045042260812901,0.30031857950825613
IMG_20260425_190354.jpg,3,0,0.250522767866553,0.010570706620222999,0.20529018007381394
IMG_20260425_190354.jpg,3,1,0.7253501441629849,0.008871467564626803,0.5316332143357095
IMG_20260425_190354.jpg,3,2,0.4676372450075487,0.009103089156925669,0.3399142010639631
IMG_20260425_190354.jpg,3,3,0.37556402088691837,0.008909437182008982,0.2652546601428808
IMG_20260425_190354.jpg,3,4,0.33376687994548465,0.008945391770582593,0.23519355752734394
IMG_20260425_190354.jpg,3,5,0.2957920420496373,0.0089537932892848,0.21480171357603725
IMG_20260425_190354.jpg,3,6,0.30785054292043734,0.00867082614649905,0.21326931833397297
IMG_20260425_190354.jpg,3,7,0.3131094989363337,0.008453526338478286,0.20977621571642602
IMG_20260425_190354.jpg,4,0,0.17932388335326502,0.015297044815962774,0.2036997426532596
IMG_20260425_190354.jpg,4,1,0.04782624551184763,0.019975845701493293,0.07529096443221563
IMG_20260425_190354.jpg,4,2,0.03289398535417806,0.018572188828475236,0.04890937358320131
IMG_20260425_190354.jpg,4,3,0.12426770146945156,0.012002118644354956,0.11723638278144649
IMG_20260425_190354.jpg,4,4,0.3932449232553882,0.009424092317396007,0.28839021200227677
IMG_20260425_190354.jpg,4,5,0.44801882331243537,0.008089621193376697,0.29947283004666886
IMG_20260425_190354.jpg,4,6,0.44784274571547933,0.008305332085380493,0.3018422267406376
IMG_20260425_190354.jpg,4,7,0.4105466650032133,0.008464922605317046,0.28410962903579823
IMG_20260425_190354.jpg,5,0,0.06951738665058736,0.033194736494273513,0.17384791971067684
IMG_20260425_190354.jpg,5,1,0.07224917257363213,0.0324691521189111,0.1801405239696403
IMG_20260425_190354.jpg,5,2,0.0863089050543439,0.0321507118841018,0.20198425234398076
IMG_20260425_190354.jpg,5,3,0.07716512172557768,0.03357959934117267,0.1927612101558689
IMG_20260425_190354.jpg,5,4,0.055643556957031604,0.03582324444470495,0.1549427181239483
IMG_20260425_190354.jpg,5,5,0.04787306773628019,0.025527837484502828,0.09857909811521391
